model,prompt,Level,c1,W1.1,W1.2,W1.3,c2,W2.1,W2.2,W2.3,W2.4,c3,W3.1,W3.2,W3.3,W3.4,c4,W4.1,W4.2,W4.3,W4.4,W4.5,,notes:
Mistral 7B,3,13,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,,
Mistral 7B,3,14,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,,
Olmo 7B_fine_tuned,3,3,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,4,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,5,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,6,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,,
Olmo 7B_fine_tuned,3,7,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,8,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,9,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,10,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,11,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,12,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,13,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,,
Olmo 7B_fine_tuned,3,14,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,
Olmo 7B,3,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,,
Olmo 7B,3,2,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,,
Olmo 7B,3,3,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,,
Olmo 7B,3,4,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,,
Olmo 7B,3,5,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,,
Olmo 7B,3,6,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,,
Olmo 7B,3,7,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,,
Olmo 7B,3,8,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,,
Olmo 7B,3,9,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,,
Olmo 7B,3,10,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,
Olmo 7B,3,11,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,,
Olmo 7B,3,12,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,,
Olmo 7B,3,13,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,,
Olmo 7B,3,14,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,,
