model,prompt,Level,c1,W1.1,W1.2,W1.3,c2,W2.1,W2.2,W2.3,W2.4,c3,W3.1,W3.2,W3.3,W3.4,c4,W4.1,W4.2,W4.3,W4.4,W4.5,,notes:
Mistral 7B,2,10,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,,
Mistral 7B,2,11,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,,missing step  2
Mistral 7B,2,12,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,missing step  2
Mistral 7B,2,13,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,,
Mistral 7B,2,14,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,,missing step  2
Mistral 7B,3,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,,
Mistral 7B,3,2,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,,
Mistral 7B,3,3,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,,
Mistral 7B,3,4,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,,
Mistral 7B,3,5,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,,
Mistral 7B,3,6,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,,
Mistral 7B,3,7,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,
Mistral 7B,3,8,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,,
Mistral 7B,3,9,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,,
Mistral 7B,3,10,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,,
Mistral 7B,3,11,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,,
Mistral 7B,3,12,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,,
Mistral 7B,3,13,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,,
Mistral 7B,3,14,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,,
Mixtral 8x7B,2,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,,
Mixtral 8x7B,2,2,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,,
Mixtral 8x7B,2,3,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,,
Mixtral 8x7B,2,4,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,,
Mixtral 8x7B,2,5,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,,
Mixtral 8x7B,2,6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,
Mixtral 8x7B,2,7,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,,
Mixtral 8x7B,2,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,
Mixtral 8x7B,2,9,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,,
Mixtral 8x7B,2,10,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,,
Mixtral 8x7B,2,11,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,
Mixtral 8x7B,2,12,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,,
Mixtral 8x7B,2,13,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,,
Mixtral 8x7B,2,14,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,,
Mixtral 8x7B,3,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,,missing step  2
Mixtral 8x7B,3,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,missing step  2
Mixtral 8x7B,3,3,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,,missing step  2
Mixtral 8x7B,3,4,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,,missing step  2
Mixtral 8x7B,3,5,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,,missing step  2
Mixtral 8x7B,3,6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,missing step  2
Mixtral 8x7B,3,7,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,,missing step  2
Mixtral 8x7B,3,8,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,,missing step  2
Mixtral 8x7B,3,9,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,missing step  2
Mixtral 8x7B,3,10,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,,missing step  2
Mixtral 8x7B,3,11,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,,missing step  2
Mixtral 8x7B,3,12,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,,missing step  2
Mixtral 8x7B,3,13,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,,missing step  2
Mixtral 8x7B,3,14,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,,missing step  2
GPT-4o,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
GPT-4o,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,
GPT-4o,2,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,
GPT-4o,2,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,,
GPT-4o,2,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,
GPT-4o,2,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,
GPT-4o,2,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,,
GPT-4o,2,8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,
GPT-4o,2,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,
GPT-4o,2,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
GPT-4o,2,11,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
GPT-4o,2,12,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
GPT-4o,2,13,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,,
GPT-4o,2,14,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,,
GPT-4o,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
GPT-4o,3,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
GPT-4o,3,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,,
GPT-4o,3,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,
GPT-4o,3,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
GPT-4o,3,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
GPT-4o,3,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,
GPT-4o,3,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,,
GPT-4o,3,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,
GPT-4o,3,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
GPT-4o,3,11,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
GPT-4o,3,12,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,
GPT-4o,3,13,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,
GPT-4o,3,14,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,
Gemini 1.5 Flash,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
Gemini 1.5 Flash,2,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,
Gemini 1.5 Flash,2,3,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,,first part of the solution is correct and solves the level but than there is a sentce with moving baba to the flag
Gemini 1.5 Flash,2,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,second part of the solution is correct and solves the level but stated that now the rule ROCK IS WIN is created but extually the rule FLAG IS ROCK is made
Gemini 1.5 Flash,2,5,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,,
Gemini 1.5 Flash,2,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,
Gemini 1.5 Flash,2,7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,1,0,,
Gemini 1.5 Flash,2,8,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,,no actions
Gemini 1.5 Flash,2,9,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,,
Gemini 1.5 Flash,2,10,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,,
Gemini 1.5 Flash,2,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
Gemini 1.5 Flash,2,12,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,Intresting solution because there are both true removing the lava and making Baba is win
Gemini 1.5 Flash,2,13,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,,First step was corect in reasoning but than i went down hill
Gemini 1.5 Flash,2,14,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,,"assuming because of FLAG IS WIN that you should reach the flag, breaking rule lava is stop because that seems most logical but is not possible"
Gemini 1.5 Flash,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
Gemini 1.5 Flash,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,
Gemini 1.5 Flash,3,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,verkeerde aanamen dat FLAG IS WIN niet  actief hierdoor oplossing gebaseerd op het creeren van de regel FLAG IS WIN
Gemini 1.5 Flash,3,4,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,,verkeerde redeniring dat ROCK IS FLAG zorgt dat rock vlaggen worden terwijl ROCK IS ROCK ook nog aanwezig is en opeens besluiten dat FLAG IS WIN ook niet meer actief is
Gemini 1.5 Flash,3,5,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,,
Gemini 1.5 Flash,3,6,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,,
Gemini 1.5 Flash,3,7,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,,
Gemini 1.5 Flash,3,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
Gemini 1.5 Flash,3,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
Gemini 1.5 Flash,3,10,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,,
Gemini 1.5 Flash,3,11,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,,makes rules with object hallucinated in the first step plus states that it is possible to brake the goop is sink rule
Gemini 1.5 Flash,3,12,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,thinks there is a wall object which is not present
Gemini 1.5 Flash,3,13,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,,"thinks there are love objects rock and Love, and STOP text. There is no problem statement. Only first step of reasoning is correct. After that states to make the rule FLAG IS PUSH which is not possible because there is no push block"
Gemini 1.5 Flash,3,14,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,
